episode_id,agent_name,reward_total,score,episode_length,steps,score_per_step,reward_per_step,lives_lost,seed,model_path,timestamp
28,dqn_reward_500k_alpha0p01_seed123,440.0,,374,374,,1.1764705882352942,,1028,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:32:00
29,dqn_reward_500k_alpha0p01_seed123,330.0,,311,311,,1.0610932475884245,,1029,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:32:01
30,dqn_reward_500k_alpha0p01_seed123,540.0,,445,445,,1.2134831460674158,,1030,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:32:02
31,dqn_reward_500k_alpha0p01_seed123,540.0,,447,447,,1.2080536912751678,,1031,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:32:04
32,dqn_reward_500k_alpha0p01_seed123,330.0,,312,312,,1.0576923076923077,,1032,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:32:05
33,dqn_reward_500k_alpha0p01_seed123,890.0,,692,692,,1.2861271676300579,,1033,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:32:08
34,dqn_reward_500k_alpha0p01_seed123,330.0,,312,312,,1.0576923076923077,,1034,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:32:09
35,dqn_reward_500k_alpha0p01_seed123,890.0,,692,692,,1.2861271676300579,,1035,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:32:11
36,dqn_reward_500k_alpha0p01_seed123,540.0,,445,445,,1.2134831460674158,,1036,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:32:13
37,dqn_reward_500k_alpha0p01_seed123,540.0,,448,448,,1.2053571428571428,,1037,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:32:14
38,dqn_reward_500k_alpha0p01_seed123,330.0,,311,311,,1.0610932475884245,,1038,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:32:15
39,dqn_reward_500k_alpha0p01_seed123,440.0,,371,371,,1.1859838274932615,,1039,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:32:17
40,dqn_reward_500k_alpha0p01_seed123,890.0,,698,698,,1.2750716332378222,,1040,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:32:20
41,dqn_reward_500k_alpha0p01_seed123,440.0,,374,374,,1.1764705882352942,,1041,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:32:22
42,dqn_reward_500k_alpha0p01_seed123,440.0,,375,375,,1.1733333333333333,,1042,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:32:25
43,dqn_reward_500k_alpha0p01_seed123,330.0,,314,314,,1.0509554140127388,,1043,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:32:26
44,dqn_reward_500k_alpha0p01_seed123,330.0,,309,309,,1.0679611650485437,,1044,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:32:28
45,dqn_reward_500k_alpha0p01_seed123,440.0,,369,369,,1.1924119241192412,,1045,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:32:30
46,dqn_reward_500k_alpha0p01_seed123,330.0,,310,310,,1.064516129032258,,1046,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:32:31
47,dqn_reward_500k_alpha0p01_seed123,330.0,,315,315,,1.0476190476190477,,1047,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:32:33
48,dqn_reward_500k_alpha0p01_seed123,330.0,,314,314,,1.0509554140127388,,1048,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:32:35
49,dqn_reward_500k_alpha0p01_seed123,330.0,,315,315,,1.0476190476190477,,1049,models/dqn_reward_500k_alpha0p01_seed123.zip,2026-06-07T16:32:37
